date,open,high,low,close,volume
2025-03-24,2972.3,3011.45,2851.35,2879.3,161388
2025-03-25,2880.0,2920.25,2842.0,2884.0,85020
2025-03-26,2884.0,2918.95,2786.0,2799.9,59154
2025-03-27,2763.7,2832.75,2750.2,2812.3,94061
2025-03-28,2823.95,2895.0,2801.1,2877.25,93747
2025-04-01,2877.25,2877.25,2715.0,2742.15,120242
2025-04-02,2727.05,2817.2,2693.65,2794.9,99522
2025-04-03,2733.65,2833.45,2733.65,2813.65,42991
2025-04-04,2810.35,2824.9,2625.8,2660.05,95376
2025-04-07,2250.0,2680.1,2250.0,2636.35,212384
2025-04-08,2695.0,2718.05,2620.1,2635.4,121907
2025-04-09,2635.4,2665.55,2567.25,2579.7,37791
2025-04-11,2618.4,2645.0,2572.85,2599.55,97276
2025-04-15,2600.0,2678.9,2516.5,2628.8,556414
2025-04-16,2652.7,2912.0,2652.1,2878.0,880464
2025-04-17,2842.0,2929.2,2810.2,2891.0,237572
2025-04-21,2891.0,2926.9,2871.4,2898.6,104703
2025-04-22,2900.0,3064.6,2900.0,3000.6,274742
2025-04-23,3022.0,3042.2,2905.6,2925.4,140116
2025-04-24,2907.5,2981.6,2890.5,2931.8,102081
2025-04-25,2917.2,2939.9,2785.4,2819.0,113696
2025-04-28,2801.0,2890.0,2801.0,2814.9,68222
2025-04-29,2836.0,2875.9,2781.1,2795.0,54069
2025-04-30,2813.3,2813.5,2723.0,2746.0,79039
2025-05-02,2750.0,2819.0,2702.2,2767.4,58584
2025-05-05,2755.0,2830.5,2710.3,2773.9,66952
2025-05-06,2775.0,2822.8,2665.5,2688.3,71832
2025-05-07,2672.5,2743.0,2655.6,2698.1,97829
2025-05-08,2695.0,2788.7,2670.0,2695.7,107266
2025-05-09,2601.5,2694.0,2596.0,2651.1,71145
2025-05-12,2739.9,2835.0,2739.0,2809.6,99861
2025-05-13,2812.6,2825.6,2772.6,2797.2,33112
2025-05-14,2800.5,2895.0,2780.5,2856.6,124601
2025-05-15,2885.0,2885.0,2812.2,2825.2,45666
2025-05-16,2846.0,2866.5,2816.2,2848.2,37354
2025-05-19,2848.2,2872.8,2736.3,2797.5,101905
2025-05-20,2730.0,2730.0,2512.9,2548.8,651143
2025-05-21,2554.6,2585.7,2504.0,2553.3,180505
2025-05-22,2562.0,2566.9,2532.2,2555.1,67182
2025-05-23,2570.0,2580.1,2525.0,2546.2,88609
2025-05-26,2568.0,2569.0,2480.1,2493.7,122975
2025-05-27,2505.0,2505.0,2346.0,2393.0,236244
2025-05-28,2406.8,2436.4,2370.0,2378.6,136092
2025-05-29,2403.8,2409.0,2350.0,2355.6,215961
2025-05-30,2373.0,2457.8,2370.0,2447.8,273906
2025-06-02,2471.0,2485.5,2400.1,2440.5,99388
2025-06-03,2465.3,2477.9,2436.1,2464.8,60456
2025-06-04,2492.0,2492.2,2430.0,2435.8,55909
2025-06-05,2457.3,2460.6,2435.0,2439.6,70657
2025-06-06,2440.0,2444.4,2403.9,2419.0,63997
2025-06-09,2448.0,2449.9,2411.0,2425.0,51385
2025-06-10,2429.0,2438.8,2395.0,2409.2,69342
2025-06-11,2409.2,2427.2,2375.0,2388.6,131976
2025-06-12,2409.9,2409.9,2355.1,2371.4,68151
2025-06-13,2360.0,2365.7,2315.8,2334.7,105470
2025-06-16,2353.5,2379.9,2287.1,2372.8,91108
2025-06-17,2389.9,2432.3,2348.0,2411.8,109490
2025-06-18,2414.4,2444.4,2384.0,2436.6,98653
2025-06-19,2444.4,2448.0,2371.0,2402.8,55661
2025-06-20,2402.8,2474.9,2380.2,2453.6,189678
2025-06-23,2430.0,2454.6,2407.1,2436.5,107630
2025-06-24,2460.0,2521.2,2450.0,2498.7,186864
2025-06-25,2499.0,2515.1,2491.3,2503.2,56019
2025-06-26,2520.0,2522.0,2475.4,2490.2,44757
2025-06-27,2515.2,2519.0,2481.1,2491.4,44235
2025-06-30,2482.0,2544.7,2448.0,2519.7,147919
2025-07-01,2522.2,2534.9,2480.0,2485.6,40568
2025-07-02,2485.6,2493.6,2427.1,2447.2,68309
2025-07-03,2447.2,2486.8,2441.4,2468.3,24528
2025-07-04,2480.0,2493.1,2445.0,2457.9,26037
2025-07-07,2441.0,2473.2,2432.0,2453.6,36273
2025-07-08,2451.2,2467.8,2416.2,2425.4,38939
2025-07-09,2410.0,2446.0,2409.9,2427.5,59505
2025-07-10,2427.5,2443.0,2395.0,2400.0,62265
2025-07-11,2410.0,2410.0,2336.0,2357.7,68258
