date,open,high,low,close,volume
2025-03-24,2060.0,2090.0,2042.05,2051.5,161415
2025-03-25,2071.0,2082.3,1955.05,1969.4,123500
2025-03-26,1951.5,2035.3,1933.55,1948.8,343686
2025-03-27,1960.0,1987.7,1860.75,1879.35,440340
2025-03-28,1903.6,2025.0,1870.0,1959.9,431426
2025-04-01,2000.0,2036.75,1922.25,1970.15,786441
2025-04-02,1960.0,1978.0,1937.75,1956.4,139778
2025-04-03,1956.35,1978.65,1942.0,1954.9,99822
2025-04-04,1953.05,1956.75,1858.25,1898.5,176164
2025-04-07,1750.05,1830.0,1710.0,1802.8,280274
2025-04-08,1869.95,1869.95,1782.85,1807.75,129369
2025-04-09,1787.95,1790.0,1689.2,1713.9,239378
2025-04-11,1773.0,1801.45,1725.0,1786.4,149271
2025-04-15,1805.0,1880.0,1791.1,1857.2,210694
2025-04-16,1869.0,1979.4,1868.8,1894.8,635244
2025-04-17,1902.1,1905.8,1870.1,1889.8,109930
2025-04-21,1899.0,1925.0,1881.7,1916.4,134327
2025-04-22,1925.0,1957.6,1908.9,1925.1,121720
2025-04-23,1940.1,2023.3,1939.1,2014.8,372968
2025-04-24,2019.4,2026.8,1954.0,1980.6,130364
2025-04-25,1980.0,1989.9,1871.0,1918.6,159750
2025-04-28,1901.0,1933.3,1887.1,1897.5,80704
2025-04-29,1912.2,1953.0,1894.0,1940.8,108442
2025-04-30,1940.0,1958.9,1893.3,1917.7,143136
2025-05-02,1909.9,1921.3,1885.0,1900.6,86938
2025-05-05,1900.0,1918.6,1882.0,1890.6,73086
2025-05-06,1900.0,1919.3,1861.1,1874.9,70160
2025-05-07,1842.2,1902.8,1842.2,1894.1,60806
2025-05-08,1892.2,1912.8,1876.0,1885.7,48851
2025-05-09,1835.0,1865.5,1809.9,1833.2,75987
2025-05-12,1891.3,1939.0,1891.0,1915.7,88129
2025-05-13,1921.3,1945.0,1909.6,1933.4,46488
2025-05-14,1949.9,2048.3,1934.5,2027.2,512252
2025-05-15,2012.0,2060.0,1981.8,2051.4,147496
2025-05-16,2051.3,2160.0,2032.0,2145.3,285218
