date,open,high,low,close,volume
2025-03-24,529.25,543.25,529.1,535.3,250721
2025-03-25,536.0,540.0,520.3,526.65,350408
2025-03-26,527.0,537.0,522.3,534.1,151728
2025-03-27,533.05,535.0,526.9,530.35,170599
2025-03-28,530.0,568.95,528.45,559.35,1273067
2025-04-01,550.05,578.15,549.15,552.75,955840
2025-04-02,553.7,575.8,548.35,571.05,727416
2025-04-03,565.0,579.45,560.05,572.9,381275
2025-04-04,573.95,577.8,550.55,560.15,389557
2025-04-07,502.0,542.4,502.0,538.2,310637
2025-04-08,545.1,567.75,545.1,559.75,434463
2025-04-09,563.4,570.4,554.75,558.6,312756
2025-04-11,570.0,574.0,549.05,565.25,389230
2025-04-15,576.85,576.85,550.25,555.25,698173
2025-04-16,555.0,562.15,548.75,556.8,389637
2025-04-17,560.0,565.9,550.55,552.85,251739
2025-04-21,552.85,561.8,551.0,552.95,237459
2025-04-22,555.5,572.0,549.2,554.45,838543
2025-04-23,561.9,563.05,549.3,551.15,299002
2025-04-24,548.0,548.55,529.35,533.35,571100
2025-04-25,533.35,536.2,510.8,512.8,470170
2025-04-28,506.5,524.75,506.5,510.05,377330
2025-04-29,513.7,520.3,502.2,504.8,412020
2025-04-30,503.0,514.6,496.35,508.6,566005
2025-05-02,510.0,529.45,509.5,524.45,359894
2025-05-05,527.2,528.85,513.0,514.2,148564
2025-05-06,509.5,524.65,499.1,501.45,308119
2025-05-07,495.05,519.95,495.05,517.55,249683
2025-05-08,517.55,522.2,503.1,507.55,169378
2025-05-09,495.05,507.25,495.05,501.2,146870
2025-05-12,516.0,522.4,516.0,519.2,181748
2025-05-13,523.85,524.9,515.05,523.3,141426
2025-05-14,524.0,531.8,521.1,526.05,137488
2025-05-15,526.05,530.2,518.1,521.4,125862
2025-05-16,522.0,542.8,520.2,538.45,415150
2025-05-19,541.45,542.0,526.7,532.15,180816
2025-05-20,532.15,549.3,529.95,539.15,471924
2025-05-21,539.2,544.0,531.25,534.7,218842
2025-05-22,533.0,538.35,528.8,531.55,119275
2025-05-23,533.0,536.15,528.2,531.4,124987
2025-05-26,530.1,537.8,523.45,534.05,276845
2025-05-27,523.0,528.45,501.1,503.2,1172246
2025-05-28,504.0,520.95,501.05,510.0,799978
2025-05-29,510.05,512.4,498.0,502.85,773465
2025-05-30,502.8,513.05,501.0,506.75,256323
2025-06-02,508.0,513.65,503.3,505.2,155195
2025-06-03,506.0,512.0,501.55,503.0,172985
2025-06-04,503.0,506.75,498.5,501.2,167619
2025-06-05,504.0,520.0,501.55,517.4,426326
2025-06-06,521.45,521.45,513.0,518.85,293629
2025-06-09,522.0,523.45,512.2,518.35,180713
2025-06-10,522.1,522.35,507.9,511.05,265569
2025-06-11,517.2,518.45,504.2,504.95,335489
2025-06-12,507.0,509.4,495.35,496.9,317290
2025-06-13,490.0,495.7,486.35,494.7,408911
2025-06-16,494.6,501.35,492.55,494.9,162415
2025-06-17,497.4,506.5,493.55,497.4,193397
2025-06-18,499.9,502.45,494.05,499.5,247943
2025-06-19,499.9,505.8,498.1,502.25,191397
2025-06-20,504.4,504.45,489.0,491.95,397418
2025-06-23,487.0,515.8,487.0,512.8,555622
2025-06-24,513.0,522.0,506.75,521.05,372694
2025-06-25,522.0,524.45,510.2,511.55,137372
2025-06-26,513.0,518.95,510.0,515.45,208501
2025-06-27,520.9,530.0,515.0,522.7,556983
2025-06-30,521.0,531.0,519.1,529.6,265252
2025-07-01,532.0,532.6,514.0,517.95,262465
2025-07-02,519.0,528.4,515.0,525.55,795070
2025-07-03,528.0,543.5,525.0,527.85,525880
2025-07-04,527.85,539.8,521.85,536.05,409519
2025-07-07,535.6,562.95,529.3,553.85,1270967
2025-07-08,553.15,566.2,547.0,552.0,748452
2025-07-09,548.0,554.75,542.75,544.9,243276
2025-07-10,548.5,548.5,535.1,539.85,264380
2025-07-11,537.8,544.3,530.0,542.6,462430
2025-07-14,542.45,546.25,532.95,542.45,195634
2025-07-15,547.85,569.95,545.05,565.85,846231
2025-07-16,570.0,588.8,561.55,585.5,1341208
2025-07-17,587.05,597.05,581.6,595.25,745187
2025-07-18,595.25,608.8,591.0,606.15,1020818
2025-07-21,609.55,618.0,581.75,584.65,737380
2025-07-22,584.65,597.2,584.65,593.55,228023
2025-07-23,593.8,600.95,585.0,588.3,352101
2025-07-24,590.0,598.3,587.0,590.95,313511
2025-07-25,589.0,593.25,581.4,584.9,277673
2025-07-28,586.0,592.25,575.85,580.3,446248
2025-07-29,576.1,612.0,576.1,604.7,789420
2025-07-30,607.65,660.05,603.55,652.25,5449373
2025-07-31,640.0,663.5,635.1,648.7,1493087
2025-08-01,651.0,656.0,626.2,630.65,681765
2025-08-04,632.0,665.0,627.8,637.8,3372750
2025-08-05,638.55,644.7,625.0,632.55,581921
2025-08-06,630.6,635.0,601.5,604.75,483739
2025-08-07,603.05,610.15,585.35,589.1,334748
2025-08-08,589.4,593.65,573.0,577.1,297476
2025-08-11,581.85,588.0,572.05,583.4,234124
2025-08-12,586.0,596.8,579.6,594.5,220425
2025-08-13,596.0,602.4,585.95,597.05,243238
2025-08-14,598.6,603.7,584.9,586.45,254137
2025-08-18,588.2,597.2,575.1,577.4,326972
2025-08-19,577.4,588.25,576.85,585.3,131433
2025-08-20,585.95,601.35,582.2,590.15,818464
2025-08-21,590.15,599.0,585.05,593.4,355620
2025-08-22,600.0,608.95,588.65,598.05,650021
2025-08-25,600.0,602.8,585.1,587.15,242461
2025-08-26,585.0,586.3,562.4,570.0,417018
2025-08-28,565.0,569.8,560.3,566.8,161353
2025-08-29,568.5,577.2,556.95,566.15,311254
2025-09-01,562.95,572.5,555.2,569.2,293041
2025-09-02,569.2,577.75,551.1,570.95,391396
2025-09-03,574.8,595.0,568.55,590.55,441414
2025-09-04,598.0,598.95,580.25,584.5,157982
2025-09-05,580.5,585.45,568.0,569.5,261572
2025-09-08,567.0,575.75,562.0,565.75,302730
2025-09-09,570.0,574.0,564.85,566.15,90595
2025-09-10,566.15,576.3,566.15,573.25,184162
2025-09-11,575.1,576.95,566.35,569.85,94639
2025-09-12,570.0,573.85,552.2,554.7,263921
